Group,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360
DSS,1.202387747,1.28550149,1.296714925,0.113719916,0.187174246,0.223081384,0.259477889,0.287946656,0.332726077,0.351520347,0.377352002,0.372038494,0.400111325,0.411153073,0.437010955,0.435320585,0.458664942,0.490962963,0.513369804,0.498723363,0.49793621,0.546071535,0.536877645,0.530068646,0.541717162,0.559159672,0.569973087,0.590442713,0.592232065,0.628793737,0.651574899,0.632328391,0.654554217,0.646937503,0.648925573,0.638755434,0.670962158,0.681128714,0.75254491,0.728183676
DSS,0.847154735,0.866012183,0.88910061,0.061957267,0.090810164,0.109931588,0.125899281,0.133717777,0.139588795,0.141204023,0.150385154,0.145418948,0.166751095,0.159656304,0.196425867,0.187597551,0.185411395,0.176419812,0.188601069,0.19948025,0.211506164,0.223547826,0.223702764,0.241902061,0.248027444,0.256814921,0.305142813,0.309352518,0.32099996,0.31679294,0.330748051,0.335535766,0.325620362,0.322339738,0.339420681,0.358616752,0.350077433,0.359144001,0.354897458,0.373439183
DSS,1.119008984,1.134886647,1.143919903,0.073311719,0.122602559,0.138684768,0.146046531,0.161424078,0.179075325,0.171394674,0.184510588,0.197799679,0.191445077,0.197721441,0.206996844,0.21652638,0.196410683,0.191665772,0.228435327,0.243754584,0.252944634,0.255371126,0.24619916,0.244555323,0.248798208,0.256091227,0.277369508,0.275255113,0.269707405,0.272805432,0.263148459,0.279291376,0.260172573,0.279719962,0.296262081,0.348543779,0.330238353,0.340293481,0.285326025,0.327051077
DSS,0.969534475,0.951060662,0.930627219,0.107869885,0.164385433,0.165265184,0.19432654,0.212511789,0.201651219,0.216640861,0.242638078,0.239405165,0.260082348,0.277783686,0.272258857,0.260758822,0.27946617,0.282534666,0.292018366,0.290403478,0.287153722,0.293631421,0.33643067,0.322854619,0.3068557,0.3164433,0.330696159,0.331937799,0.322473949,0.317292766,0.342341061,0.367583673,0.33589257,0.349354897,0.337685714,0.342314722,0.340490886,0.363495868,0.360731685,0.344088513
DSS,0.513164235,0.517745443,0.488352912,0.044961882,0.060442101,0.075878986,0.088801348,0.095603807,0.092881944,0.094213566,0.112289067,0.115185938,0.114849108,0.112073334,0.106256278,0.108125743,0.122246951,0.124090494,0.122252944,0.154502392,0.136916836,0.144038825,0.165444057,0.163024075,0.167970559,0.150096583,0.147694489,0.14674579,0.17228728,0.15814387,0.162832825,0.15411999,0.164576682,0.156425287,0.180615503,0.162790124,0.180198268,0.195950755,0.187325005,0.19092558
DSS,1.111759425,1.132359562,1.094322731,0.062982979,0.12244898,0.146028096,0.152056575,0.175901964,0.189327336,0.190556663,0.189769834,0.194237779,0.199394933,0.210923077,0.221903146,0.235216037,0.228475529,0.246602933,0.248509677,0.240441476,0.24102417,0.262110891,0.258187891,0.258609118,0.286825089,0.268122689,0.268915127,0.263557341,0.240167185,0.271361921,0.281602406,0.284837792,0.306705924,0.275453354,0.296708248,0.287332731,0.299609523,0.288969626,0.314438266,0.316613528
DSS,0.833050642,0.789889752,0.87907266,0.068194368,0.111573211,0.123050071,0.151671504,0.158863174,0.160754494,0.162725553,0.197363643,0.194404723,0.20638151,0.186988272,0.203207952,0.218223962,0.245245319,0.226185973,0.241110147,0.263609218,0.275984683,0.253367003,0.249875446,0.257874243,0.288016113,0.307229645,0.304889222,0.299624857,0.30650774,0.322302158,0.329398608,0.3375542,0.323100568,0.315529218,0.36280068,0.327348124,0.316087628,0.382879309,0.355094949,0.323854534
DSS,0.95197385,1.065093361,1.058259587,0.072346003,0.11886697,0.157972806,0.17552682,0.202353543,0.204351204,0.202133195,0.207996076,0.246333582,0.238964578,0.259288331,0.294683409,0.270481472,0.310425311,0.307929969,0.306990882,0.332619749,0.32319202,0.339816316,0.331942634,0.339906591,0.343834605,0.386680988,0.385950637,0.373182553,0.396020714,0.384985306,0.383351293,0.381714596,0.419001868,0.411481976,0.393947438,0.398824732,0.391789016,0.368196371,0.379264745,0.397086593
DSS,0.96723127,0.961614911,0.944291676,0.064697987,0.102611816,0.12588962,0.143189678,0.156624859,0.165274222,0.168260038,0.181830724,0.202845229,0.192769417,0.197935493,0.193813936,0.211878627,0.216571285,0.223569753,0.20998924,0.216150255,0.205026982,0.24548863,0.246205189,0.26014913,0.255857101,0.258418311,0.266105109,0.281303795,0.277611044,0.279762126,0.29336628,0.291843542,0.296230882,0.283620332,0.291013503,0.283792948,0.293272923,0.305600122,0.296909365,0.309243632
DSS,0.969535273,0.867918642,0.947691153,0.094030098,0.138144398,0.141008551,0.183431074,0.18416735,0.221172161,0.235817256,0.247043738,0.241605271,0.244998372,0.255448457,0.275704553,0.287052133,0.303170007,0.298754415,0.321118106,0.350233542,0.327483584,0.344362046,0.340073963,0.333012512,0.34530164,0.362922499,0.353558481,0.389827748,0.371105267,0.361799569,0.358233957,0.403636975,0.358488377,0.400421908,0.379459945,0.386137441,0.389171733,0.383510618,0.432786745,0.408712598
